school_name,curriculum,dsib_rating,area,tuition_nursery_ecc,tuition_fs1,tuition_fs2,tuition_primary,tuition_secondary_y7_9,tuition_gcse_y10_11,tuition_sixth_form_y12_13,fee_currency,fee_period,khda_lowest_fee,khda_highest_fee,khda_average_fee,transport_fee_min_aed,transport_fee_max_aed,source_url,notes
Dubai English Speaking School,UK,Outstanding,oud metha,,43084.0,53320.0,53320.0,,,,AED,Annual,41427.0,53320.0,51040.0,7999.0,8000.0,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=202&CenterID=50,
Durham School L.L.C,UK,Acceptable,dubai investment park first,,55269.0,55269.0,76762.0,95186.0,95186.0,,AED,Annual,54000.0,95186.0,76387.0,8500.0,10500.0,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=5563&CenterID=502857,
Jumeirah English Speaking School,UK,Outstanding,al safa first,,54131.0,65098.0,65098.0,,,,AED,Annual,48331.0,65098.0,61015.0,,,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=200&CenterID=51,
Kings School Dubai L.L.C,UK,Outstanding,umm suqeim third,,47179.0,47179.0,71801.0,,,,AED,Annual,46096.0,71801.0,58808.0,,,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=273&CenterID=115,
Dubai Schools Corporation Nad AlShiba L.L.C,American,Acceptable,nadd al shiba fourth,33161.0,,,42271.0,45853.0,,,AED,Annual,29900.0,44829.0,36795.0,,,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=5566&CenterID=503338,
GEMS Jumeira Primary School - Dubai Branch,UK,Outstanding,jumeira third,,44200.0,55714.0,55714.0,,,,AED,Annual,43185.0,55714.0,53652.0,7900.0,10300.0,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=281&CenterID=64,
Bloom World Academy L.L.C,International Baccalaureate,Good,al barsha second,55000.0,,,70000.0,78000.0,85000.0,85000.0,AED,Annual,48000.0,85000.0,63438.0,5700.0,10000.0,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=5562&CenterID=502805,
Citizens School,UK,Good,al satwa,,45000.0,55000.0,65000.0,80000.0,,,AED,Annual,42150.0,75000.0,58958.0,,,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=5560&CenterID=14720,
GEMS Dubai American Academy - Dubai Branch,American,Outstanding,al barsha south first,66185.0,,,93300.0,93300.0,93300.0,93300.0,AED,Annual,64665.0,93300.0,88878.0,6670.0,10600.0,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=262&CenterID=33,
Horizons English School L.L.C,UK,Outstanding,al wasl,,31503.0,31503.0,44121.0,,,,AED,Annual,30780.0,44121.0,40496.0,6750.0,10000.0,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=276&CenterID=56,
Dubai College,UK,Outstanding,al safouh first,,,,,97415.0,97415.0,110305.0,AED,Annual,93220.0,110305.0,98921.0,7131.0,7131.0,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=192&CenterID=70,
GEMS Modern Academy,Indian,Outstanding,nadd al shiba first,38246.0,,,48173.0,51345.0,73876.0,73876.0,AED,Annual,30272.0,73876.0,48940.0,5900.0,7750.0,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=239&CenterID=78,
Deira International School,IB,Outstanding,dubai festival city,,44616.0,44616.0,63057.0,68094.0,81501.0,89889.0,AED,Annual,43592.0,89889.0,67116.0,1.0,12000.0,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=280&CenterID=124,
Dubai International Academy L.L.C,IB,Outstanding,emirates hills,50726.0,,,57983.0,65224.0,72482.0,79696.0,AED,Annual,43946.0,79696.0,61740.0,9000.0,10000.0,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=285&CenterID=129,
Jumeirah College,UK,Outstanding,al safa first,,,,,78946.0,88813.0,98681.0,AED,Annual,77133.0,98681.0,86400.0,7900.0,10500.0,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=205&CenterID=71,
Dubai British School,UK,Outstanding,emirates hills,,53027.0,53027.0,60608.0,71976.0,71976.0,79541.0,AED,Annual,51809.0,79541.0,64155.0,,,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=213&CenterID=134,
Jumeirah English Speaking School (Br),International Baccalaureate,Outstanding,arabian ranches,,54130.0,65100.0,65100.0,92857.0,92857.0,105607.0,AED,Annual,48330.0,105607.0,76502.0,,,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=206&CenterID=131,
Repton School,UK/IB,Outstanding,nadd al shiba third,,57178.0,63025.0,75953.0,86529.0,95182.0,102753.0,AED,Annual,55865.0,102753.0,77978.0,6700.0,12650.0,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=356&CenterID=145,
GEMS Wellington International School - Dubai Branch,IB,Outstanding,al safouh first,,47527.0,59862.0,59862.0,82540.0,92879.0,103399.0,AED,Annual,46436.0,103399.0,72936.0,8000.0,12000.0,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=272&CenterID=122,
Lycee Francais International Georges Pompidou School Oud Metha,French,Outstanding,oud metha,31276.0,,,,,,,AED,Annual,30558.0,31276.0,30917.0,5000.0,8500.0,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=316&CenterID=371,
Dubai English Speaking School - (College),UK,Outstanding,academic city,,,,,84325.0,84325.0,90633.0,AED,Annual,81082.0,90633.0,84471.0,7100.0,7999.0,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=255&CenterID=357,
Safa Community School,UK,Outstanding,al barsha south first,,54437.0,54437.0,63703.0,79919.0,82732.0,89440.0,AED,Annual,53187.0,89440.0,67972.0,8850.0,10000.0,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=4443&CenterID=1281,
Lycee Francais International,French,Outstanding,oud metha,29488.0,,,41806.0,47509.0,62363.0,62363.0,AED,Annual,28811.0,62363.0,41019.0,8500.0,8500.0,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=284&CenterID=341,
Nord Anglia International School L.L.C,UK,Outstanding,al barsha second,,69625.0,69625.0,87030.0,92832.0,99794.0,105288.0,AED,Annual,68026.0,105288.0,88208.0,0.0,10500.0,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=4441&CenterID=2222,
Kings School Al Barsha L.L.C,UK,Outstanding,al barsha second,,57999.0,57999.0,73595.0,95432.0,109064.0,115088.0,AED,Annual,56667.0,115088.0,81265.0,8000.0,11000.0,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=4446&CenterID=2409,
The English College Dubai L.L.C,UK,Very good,umm suqeim first,,52112.0,52112.0,57196.0,56982.0,61817.0,68265.0,AED,Annual,50915.0,68265.0,57560.0,6950.0,9950.0,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=278&CenterID=45,
Dubai British School Jumeirah Park,UK,Outstanding,jumeirah park,,65719.0,65719.0,83849.0,95029.0,111799.0,111799.0,AED,Annual,44947.0,111799.0,87287.0,,,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=4449&CenterID=14564,
Victory Heights Primary School L.L.C,UK,Outstanding,dubai sports city,,40138.0,43785.0,54733.0,,,,AED,Annual,39216.0,54733.0,48243.0,6800.0,12500.0,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=4429&CenterID=1423,
Regent International Private School L.L.C,UK,Very good,al barsha second,,49076.0,49076.0,57254.0,73250.0,96723.0,103630.0,AED,Annual,47949.0,103630.0,69552.0,6440.0,12000.0,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=271&CenterID=62,
GEMS Our Own English High School,Indian,Very good,al warqa first,7828.0,,,10890.0,13612.0,17257.0,16549.0,AED,Annual,7648.0,17257.0,12557.0,4380.0,6000.0,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=238&CenterID=77,
Delhi Private School L.L.C,Indian,Very good,jabal ali first,11139.0,,,13302.0,,,,AED,Annual,10883.0,15592.0,13040.0,,,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=243&CenterID=112,
The Indian High School,Indian,Very good,oud metha,,,,6696.0,8373.0,10465.0,10465.0,AED,Annual,5525.0,10465.0,7911.0,4300.0,8500.0,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=324&CenterID=81,
