school_name,curriculum,dsib_rating,area,tuition_nursery_ecc,tuition_fs1,tuition_fs2,tuition_primary,tuition_secondary_y7_9,tuition_gcse_y10_11,tuition_sixth_form_y12_13,fee_currency,fee_period,khda_lowest_fee,khda_highest_fee,khda_average_fee,transport_fee_min_aed,transport_fee_max_aed,source_url,notes
Swiss International Scientific School FZ-LLC,International Baccalaureate,Very good,dubai healthcare city,76903.0,,,109042.0,126259.0,137736.0,,AED,Annual,67287.0,137736.0,101473.0,7900.0,10200.0,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=4450&CenterID=14567,
Kent College L.L.C - FZ,UK,Very good,nadd al shiba second,,59518.0,59518.0,88174.0,94786.0,101400.0,108013.0,AED,Annual,58151.0,108013.0,84547.0,30.0,12000.0,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=5476&CenterID=152102,
Hartland International School - FZ,International Baccalaureate,Very good,meydan city,,48781.0,54730.0,66628.0,83285.0,88044.0,92803.0,AED,Annual,43328.0,92803.0,71537.0,2250.0,9000.0,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=4448&CenterID=14633,
GEMS Founders School - Dubai Branch,UK,Very good,al barsha second,,24749.0,28126.0,30375.0,32624.0,34875.0,37124.0,AED,Annual,24181.0,37124.0,31435.0,4960.0,7330.0,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=5488&CenterID=14568,
Arcadia British School,UK,Very good,jumeirah village circle (south),,67687.0,67687.0,77839.0,88419.0,93945.0,96209.0,AED,Annual,66133.0,96209.0,80934.0,5000.0,10500.0,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=5471&CenterID=151820,
Dubai Heights Academy,IB,Very good,al barsha second,,48688.0,55536.0,64312.0,79185.0,90741.0,96880.0,AED,Annual,47570.0,90741.0,63322.0,9000.0,12000.0,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=5497&CenterID=152197,
Lycee Francais Jean Mermoz L.L.C,French,Very good,al qouz first,46420.0,,,55262.0,61893.0,64104.0,,AED,Annual,38875.0,64634.0,52324.0,9000.0,12000.0,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=5492&CenterID=152343,
Lycee Libanais Francophone Prive Meydan L.L.C - FZ,French,Very good,meydan city,42004.0,,,50405.0,54606.0,69307.0,69307.0,AED,Annual,38988.0,69307.0,49688.0,10900.0,10900.0,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=5557&CenterID=502308,
Royal Grammar School Guildford L.L.C,UK,Very good,dubai sports city,,78758.0,84009.0,101861.0,113412.0,119713.0,,AED,Annual,76950.0,119713.0,97664.0,7000.0,7900.0,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=5542&CenterID=500628,
Dubai International Academy Albarsha,International Baccalaureate,Very good,al barsha first,60459.0,,,79221.0,87792.0,96309.0,96309.0,AED,Annual,51892.0,96309.0,73221.0,,,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=5518&CenterID=500005,
Al Shurooq Private School,Ministry of Education,Good,jumeira first,7828.0,,,9064.0,10186.0,13017.0,,AED,Annual,7648.0,13017.0,9716.0,5000.0,5500.0,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=252&CenterID=3,
Al Basateen Private Nursery,Ministry of Education,Good,al khwaneej first,8009.0,,,,,,,AED,Annual,8009.0,8009.0,8009.0,3500.0,3500.0,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=341&CenterID=15,
North London Collegiate School Middle East L.L.C - FZ,International Baccalaureate,Very good,meydan city,104999.0,,,127103.0,132629.0,143681.0,143681.0,AED,Annual,89629.0,143681.0,115884.0,2160.0,9200.0,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=5496&CenterID=152520,
Al Rashid Al Saleh Private School,Ministry of Education,Good,oud metha,8989.0,,,9366.0,17043.0,19290.0,,AED,Annual,8783.0,19290.0,13957.0,3900.0,5100.0,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=250&CenterID=10,
Sheikh Rashid Bin Saeed Islamic Institute,Ministry of Education,Good,al rowaiyah first,,,,,,,,AED,Annual,0.0,0.0,0.0,,,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=249&CenterID=17,
Al Mawakeb School Al Garhoud L.L.C,American,Good,al garhoud,15726.0,,,17502.0,21246.0,23970.0,25493.0,AED,Annual,15365.0,25493.0,18545.0,8700.0,13500.0,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=198&CenterID=19,
Al Mawakeb School Al Barsha L.L.C,American,Good,al barsha second,15726.0,,,17502.0,21246.0,23970.0,25493.0,AED,Annual,15365.0,25493.0,18545.0,8700.0,13500.0,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=207&CenterID=20,
Al Ittihad Private School,American,Good,al mamzar,20117.0,,,22777.0,28246.0,36592.0,42434.0,AED,Annual,18207.0,42434.0,25581.0,5500.0,7000.0,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=297&CenterID=21,
Al Ittihad Private School (Br),American,Good,al safa first,23184.0,,,33610.0,35021.0,43272.0,43272.0,AED,Annual,21709.0,43272.0,32270.0,5500.0,7000.0,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=301&CenterID=22,
GEMS Al Khaleej International School - Dubai Branch,American,Good,al warqa fourth,36096.0,,,42487.0,44709.0,63457.0,63457.0,AED,Annual,33153.0,63457.0,44698.0,5960.0,9500.0,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=268&CenterID=29,
Dubai National School L.L.C,American,Good,al barsha first,24172.0,,,28650.0,33038.0,39665.0,39665.0,AED,Annual,23617.0,39665.0,29547.0,6500.0,8500.0,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=258&CenterID=28,
Dubai National School  AlTwar L.L.C,American,Good,al twar first,23690.0,,,28003.0,32316.0,38836.0,38836.0,AED,Annual,19416.0,38836.0,28531.0,,,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=298&CenterID=27,
Mirdif American School,American,Good,al mizhar first,27260.0,,,34695.0,45034.0,47081.0,,AED,Annual,25348.0,45034.0,32079.0,4500.0,9250.0,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=257&CenterID=24,
New Academy School,American,Good,al raffa,9245.0,,,10262.0,16835.0,24625.0,24625.0,AED,Annual,9026.0,24625.0,14290.0,6500.0,8500.0,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=259&CenterID=31,
American International School,American,Good,al qusais first,13405.0,,,15422.0,17919.0,20653.0,21732.0,AED,Annual,13097.0,21732.0,16359.0,6850.0,8400.0,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=315&CenterID=32,
Dubai International Private School - Br,American,Good,al qouz first,15974.0,,,16890.0,20809.0,23034.0,25080.0,AED,Annual,15607.0,25080.0,18269.0,6000.0,8700.0,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=232&CenterID=26,
The School of Research Science L.L.C,UK,Good,al warqa fourth,,37163.0,39597.0,50450.0,60168.0,63765.0,79790.0,AED,Annual,36310.0,79790.0,52437.0,7000.0,10000.0,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=317&CenterID=42,
American School Dubai,American,Good,al barsha second,69961.0,,,89319.0,89319.0,89319.0,89319.0,AED,Annual,59180.0,89319.0,83461.0,8000.0,10000.0,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=201&CenterID=34,
Himayah Kindergarten For Education- Karama,Ministry of Education,Good,al karama,,,,,,,,AED,Annual,0.0,0.0,0.0,2000.0,3000.0,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=247&CenterID=37,
ST. Mary Catholic High School - Dubai,UK,Good,umm hurair first,,,,9030.0,11042.0,12679.0,15812.0,AED,Annual,6944.0,15812.0,10227.0,4300.0,6850.0,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=275&CenterID=47,
Oxford School,UK,Good,muhaisanah fourth,,12695.0,12695.0,14420.0,14979.0,20128.0,20128.0,AED,Annual,12404.0,20128.0,15037.0,5500.0,9500.0,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=190&CenterID=46,
The City School International Private,UK,Good,nadd al hamar,,14781.0,15087.0,17833.0,17833.0,26746.0,,AED,Annual,14442.0,35694.0,21774.0,3500.0,9000.0,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=299&CenterID=49,
Cambridge International School,UK,Good,al twar first,,23795.0,23795.0,29204.0,32448.0,34612.0,36775.0,AED,Annual,23249.0,36775.0,30080.0,5330.0,6780.0,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=191&CenterID=48,
Dubai Gem Private School,UK,Good,oud metha,,13519.0,13519.0,17046.0,19654.0,20724.0,27756.0,AED,Annual,13209.0,27756.0,17616.0,600.0,10000.0,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=222&CenterID=65,
Pristine Private School,UK,Good,al nahda second,,25959.0,26499.0,29204.0,15058.0,19440.0,20372.0,AED,Annual,12018.0,29204.0,18708.0,6250.0,9000.0,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=212&CenterID=61,
Al Salam Private School,UK,Good,al nahda second,,14276.0,14651.0,17131.0,21664.0,31390.0,,AED,Annual,13948.0,28536.0,17743.0,4200.0,9200.0,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=277&CenterID=43,
Apple International School,UK,Good,al qusais first,,6993.0,7244.0,10409.0,14738.0,18387.0,27960.0,AED,Annual,6832.0,27960.0,12601.0,5500.0,9500.0,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=203&CenterID=52,
Al Diyafah High School L.L.C,UK,Good,al nahda second,,9506.0,9506.0,10018.0,13018.0,16966.0,20475.0,AED,Annual,9288.0,20475.0,12149.0,6500.0,8500.0,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=219&CenterID=59,
The Sheffield Private School L.L.C,UK,Good,al nahda second,,23631.0,23631.0,28059.0,33231.0,36921.0,44563.0,AED,Annual,23088.0,44563.0,31519.0,4700.0,7500.0,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=282&CenterID=73,
The Westminster School - DUBAI BRANCH,UK,Good,al qusais first,,9362.0,9362.0,11565.0,14686.0,18203.0,18203.0,AED,Annual,9147.0,18203.0,12986.0,4900.0,7650.0,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=199&CenterID=67,
M S B Private School,UK,Good,al nahda second,,11816.0,11816.0,12603.0,13396.0,13396.0,23990.0,AED,Annual,11545.0,27681.0,14360.0,3000.0,6000.0,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=193&CenterID=57,
Dubai Scholars Private School,UK,Good,al qusais first,,15833.0,16403.0,19087.0,20224.0,20224.0,29806.0,AED,Annual,15469.0,32568.0,20702.0,,,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=307&CenterID=66,
Gulf Indian High School,Indian,Good,al garhoud,4989.0,,,6351.0,7347.0,9434.0,9434.0,AED,Annual,4874.0,9434.0,6353.0,3700.0,6000.0,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=295&CenterID=74,
The Indian High School-Branch,Indian,Good,al garhoud,21000.0,,,5525.0,,,,AED,Annual,5276.0,21000.0,7665.0,4300.0,8500.0,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=325&CenterID=82,
GEMS Legacy School - Dubai Branch,Indian,Good,al garhoud,8532.0,,,15143.0,18902.0,21092.0,,AED,Annual,8336.0,18902.0,12431.0,4500.0,6000.0,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=228&CenterID=83,
Star International School,UK,Good,al qusais first,,22027.0,25915.0,33687.0,43586.0,56925.0,71409.0,AED,Annual,21521.0,71409.0,40092.0,6300.0,11000.0,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=336&CenterID=118,
Al Basateen Private Nursery - Hatta Branch,Ministry of Education,Good,hatta,5540.0,,,,,,,AED,Annual,5540.0,5540.0,5540.0,1500.0,1500.0,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=340&CenterID=117,
Japanese School,Japanese,Good,al wasl,38400.0,,,33000.0,33600.0,,,AED,Annual,32400.0,38400.0,34350.0,,,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=342&CenterID=104,
New Indian Model School,Indian,Good,al garhoud,4466.0,,,5536.0,5804.0,7769.0,7769.0,AED,Annual,4363.0,7769.0,5618.0,380.0,465.0,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=242&CenterID=86,
Our Own High School - Dubai Branch,Indian,Good,al warqa first,7828.0,,,10724.0,13276.0,15359.0,15359.0,AED,Annual,7648.0,16299.0,11899.0,4400.0,6000.0,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=236&CenterID=119,
American Academy for Girls,American,Good,al mizhar first,45618.0,,,63062.0,71113.0,71113.0,71113.0,AED,Annual,44571.0,71113.0,58536.0,4000.0,11000.0,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=196&CenterID=130,
Al Nibras International Private School,American,Good,dubai investment park first,25316.0,,,35224.0,42580.0,50321.0,50321.0,AED,Annual,24735.0,50321.0,36701.0,6000.0,10000.0,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=343&CenterID=126,
Philadelphia Private School,American,Good,muhaisnah first,20532.0,,,25667.0,35160.0,42987.0,42987.0,AED,Annual,20061.0,42987.0,29267.0,5400.0,11000.0,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=261&CenterID=135,
Sharjah American International Private School - Dubai Branch,American,Good,al warqa first,20544.0,,,28246.0,32099.0,41086.0,44938.0,AED,Annual,17563.0,44938.0,28466.0,3705.0,9688.0,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=215&CenterID=136,
Greenwood International School,American,Good,muhaisnah first,20124.0,,,25492.0,28178.0,30860.0,30860.0,AED,Annual,19662.0,30860.0,25579.0,6263.0,11255.0,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=321&CenterID=139,
Russian International School,Russian,Good,muhaisanah fourth,16092.0,,,23337.0,24197.0,25180.0,,AED,Annual,15361.0,25180.0,21764.0,10230.0,17830.0,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=4400&CenterID=143,
Primus Private School L.L.C,Indian,Good,al warqa first,12265.0,,,18114.0,24587.0,24587.0,,AED,Annual,11983.0,24587.0,18749.0,3500.0,8000.0,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=361&CenterID=144,
Dar Al Marefa Private School,International Baccalaureate,Good,al khwaneej first,65968.0,,,81940.0,81940.0,101121.0,101121.0,AED,Annual,64453.0,101121.0,79455.0,8500.0,10500.0,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=4279&CenterID=266,
