school_name,curriculum,spea_rating,area,tuition_nursery_ecc,tuition_fs1,tuition_fs2,tuition_primary,tuition_secondary_y7_9,tuition_gcse_y10_11,tuition_sixth_form_y12_13,fee_currency,fee_period,spea_lowest_fee,spea_highest_fee,transport_fee_min_aed,transport_fee_max_aed,transport_notes,source_url,pdf_url,notes
Al Amana Private School,British,Acceptable,Sharjah - Al Ramla,,9670.0,9670.0,11948.0,12890.0,14120.0,14656.0,AED,Annual,9670.0,14656.0,,,,https://spea.shj.ae/en/educational-institutions/schools/127,https://spea.shj.ae/media/0udcapjt/speaschoolfees_127.pdf,
Al Choueifat Int. School,Sabis,Good,Sharjah - Industrial Area 6,21600.0,,,27400.0,31900.0,35900.0,36300.0,AED,Annual,21600.0,36300.0,,,,https://spea.shj.ae/en/educational-institutions/schools/162,https://spea.shj.ae/media/53wllkyj/speaschoolfees_162.pdf,
Al Bayan National School,Moe,Acceptable,Sharjah - Al Hazana,5276.0,,,7837.0,8835.0,,,AED,Annual,5276.0,8835.0,,,,https://spea.shj.ae/en/educational-institutions/schools/204,https://spea.shj.ae/media/qywpvrrn/speaschoolfees_204.pdf,
Al Dhaid Pvt. School,Moe,Good,Central Region - Al Dhaid,4000.0,,,6000.0,10000.0,,,AED,Annual,4000.0,10000.0,,,,https://spea.shj.ae/en/educational-institutions/schools/105,https://spea.shj.ae/media/bbscgd3y/speaschoolfees_105.pdf,
AL DHIA AL SCIENTIFIC PRIVATE SCHOOL LLC,Moe,Acceptable,Sharjah - Al Ghubaiba,5174.0,,,9543.0,11670.0,,,AED,Annual,5174.0,11670.0,,,,https://spea.shj.ae/en/educational-institutions/schools/192,https://spea.shj.ae/media/d02j5wf2/speaschoolfees_192.pdf,
AL DURRAH INTERNATIONAL SCHOOL LLC,American,Good,Sharjah - Industrial Area 8,18070.0,,,,,,,AED,Annual,18070.0,18070.0,,,,https://spea.shj.ae/en/educational-institutions/schools/132,https://spea.shj.ae/media/sryapy5c/%D9%85%D8%AF%D8%B1%D8%B3%D8%A9-%D8%A7%D9%84%D8%AF%D8%B1%D8%A9-%D8%A7%D9%84%D8%AF%D9%88%D9%84%D9%8A%D8%A9.pdf,
Al Bayan Pvt.School,Moe,Good,Eastern Region - Khorfakkan - Al Qadisiya,4570.0,,,,,,,AED,Annual,4570.0,4570.0,,,,https://spea.shj.ae/en/educational-institutions/schools/158,https://spea.shj.ae/media/w0tir2il/%D9%85%D8%AF%D8%B1%D8%B3%D8%A9-%D8%A7%D9%84%D8%A8%D9%8A%D8%A7%D9%86-%D8%A7%D9%84%D8%AE%D8%A7%D8%B5%D8%A9.pdf,
Al Basaier Pvt. School,Moe,Good,Sharjah - Shargan,7680.0,,,,,,,AED,Annual,7680.0,7680.0,,,,https://spea.shj.ae/en/educational-institutions/schools/176,https://spea.shj.ae/media/vwypfehz/%D9%85%D8%AF%D8%B1%D8%B3%D8%A9-%D8%A7%D9%84%D8%A8%D8%B5%D8%A7%D8%A6%D8%B1-%D8%A7%D9%84%D8%AE%D8%A7%D8%B5%D8%A9.pdf,
AL ANSAR NATIONAL PVT SCHOOL,Moe,Not Reviewed,Sharjah - Al Qarain 3,,,,32500.0,34500.0,41000.0,43000.0,AED,Annual,32500.0,43000.0,,,,https://spea.shj.ae/en/educational-institutions/schools/441,https://spea.shj.ae/media/lwvluvz3/speaschoolfees_441.pdf,
Al Istiqlal Private School L.L.C,Moe,Good,Sharjah - Muwailih,5265.0,,,,,,,AED,Annual,5265.0,5265.0,,,,https://spea.shj.ae/en/educational-institutions/schools/190,https://spea.shj.ae/media/v0bgajlx/%D9%85%D8%AF%D8%B1%D8%B3%D8%A9-%D8%A7%D9%84%D8%A7%D8%B3%D8%AA%D9%82%D9%84%D8%A7%D9%84-%D8%A7%D9%84%D8%AE%D8%A7%D8%B5%D8%A9.pdf,
